2D First,Participant,Condition,Order,Observations,proportion,count,"Enjoy -  Any verbal expression of enjoyment (laugh, like, fun)","Not Enjoy - any verbal expression/word of non-enjoyment (sigh, frustration, dislike, uncomfort)",Memorability - received via email,Rationale - about their rationale for picking the shapes,Perception - about different ways they perceive the pictograph or shape or 2d or vr,Estimation - About their strategy of estimation of proportions or quantities,Challenging - Indication that it was difficult challenging for them,"Experience - Reference to an Experience, lived or not",Memory of Past Experience,World - Reference to the Real World,Senses - Referece to Physical Senses,Abstract - Reference to Abstract Concepts/Emotions,Symbolism - conventional representations,Personal - Making it personal,Aesthetics,Order effect - Influenced/inspired by the previous conditions
0,P10,2D-D,32,Im just going to go with what I had before (in VR) and then see what it looks like. Laugh. Stem looks a little sad. Use same shape and colors. It looks nicer when zoomed out. Does not look very good in big. Can I wish that I could undo it and go back to what I had. Im like trying to remember what I did before.,,,,,,,1,,1,,,,,,,,,1
0,P10,2D-D,37,"Count: positive. Seems like a lot of them but same amount of space. Positive. Positive. 100, 150 neutral and 50 negative.",,under,,,,,1,1,,,,,,,,,,
0,P6,2D-D,48,Thinking 3d to do a perspective thing. Only because of what we had done previously,,,,,,,1,,,,,,,,,,,1
1,P3,VR-B,21,I have to stand back to see the particular field,,,,,,,1,,1,,,,,,,,,
1,P3,VR-B,22,It is sort of on a place on the ground. Where as on the screen you see the whole thing from a top view.,,,,,,,1,,1,,,,,,,,,
1,P9,VR-B,26,"Proportion it’s a little harder because I cannot see all three at the same time. Seems like neutral is the largest group, happy is about half of that, I can tell that the negative group is somewhere in between but less sure where. Closer to size of neutral than positive.",,,,,,,1,1,1,,,,,,,,,
0,P2,VR-C,11,Stars are flat,,,,,,,1,,,,,,,,,,,
0,P2,VR-C,15,"Swirls, cause it is a ball. I like that you can see through them, it gives more like a contour and contrast, easier to count",,,,,,1,1,,,,,,,,,,,
0,P4,VR-C,28,For me the problem it’s the bias of the volume of star vs teardrop.,,,,,,,1,,1,,,,,,,,,
0,P4,VR-C,29,"It would bias me towards the counting, or just the quick glance",,,,,,,1,1,,,,,,,,,,
0,P4,VR-C,31,Volumetrically a bit more,,,,,,,1,,,,,,,,,,,
0,P4,VR-C,32,"Feel good about these positive moments, having them a bit larger is great",,,,,,1,1,,,,,,,,,,,
1,P11,VR-C,37,Neutral oh these one are flat half sphere. Flat an meaningless. The rectangles.,,,,,,1,1,,,,,,,,,,,
0,P4,VR-C,37,I almost want it to go vertical. The positive are not close to me. I want to be centered.,,,,,,,1,,1,,,,,,,,,
1,P11,VR-C,39,"Proportions: 1 pos 7 neutral, 5 negative",,,,,,,1,,,,,,,,,,,
1,P11,VR-C,40,I had to shift my head all the way around. It was uncomfortable to compare the one far apart,,,,,,,1,1,1,,,,,,,,,
1,P5,VR-C,54,Most of these are feeling like – any of the cuby ones have gradient,,,,,,,1,,,,,,,,,,,
1,P5,VR-C,55,"Did not like the flat circles, hard to get a sense",,,,,,,1,,1,,,,,,,,,
1,P5,VR-C,56,All bunching up in the back. Don’t like circles,,,,,,,1,,,,,,,,,,,
1,P5,VR-C,57,Jesus – turns it into the square and it was intense.,,,,,,,1,,,,,,,,,,,
1,P5,VR-C,60,"They have gradient, I wonder if that would help.",,,,,,,1,,,,,,,,,,,
1,P5,VR-C,61,Really hard that I cannot see them all at once,,,,,,,1,1,1,,,,,,,,,
1,P5,VR-C,62,Seemingly away from me than the rest.,,,,,,,1,,,,,,,,,,,
1,P5,VR-C,68,Square with gradient and drops. Will do drops for all of them. See how that pans out.,,,,,,,1,1,,,,,,,,,,
1,P5,VR-C,71,Flat semi-circle for neutral cause its flat,,,,,,1,1,,,,,,,,,,,
1,P5,VR-C,73,Flat to slightly lifted to lifeted,,,,,,1,1,,,,,,,,,,,
1,P3,VR-C,77,Its different where we could see all the shapes at once in 2D. Trying to remember what all the shapes are.,,,,,,,1,,1,,,,,,,,,
1,P7,VR-C,81,"About the same – purely using the overall size of the shapes, using the area not counting the shapes.",,,,,,,1,1,,,,,,,,,,
1,P7,VR-C,82,Stars looks like more because of how many spikes,,,,,,,1,,,,,,,,,,,
1,P3,VR-C,89,Anticipation of questions. It is easier to count the globes. At least the way they are arranged. Because they are diagonally oriented.   Hard to tell where the rows and columns are. Easier to deal with,,,,,,,1,1,1,,,,,,,,,
1,P3,VR-C,90,Cone look interesting as well. Half dome makes more sense. When you look at a row this way they overlap a lot. Half sphere less height so that it is easier to count them.,,,,,,,1,1,,,,,,,,,,
1,P3,VR-C,92,Huh – all relative depending where I am standing. If I stand closer to one it looks like it dominates. More blues.  Not so good.,,,,,,,1,,,,,,,,,,,
0,P8,VR-D,6,"When im going to 3d, imm loosing the perspective of diamons and depth represent the sparkles. Makes lines more soft.",,,,,,,1,,,,,,,,,,,
0,P6,VR-D,22,It s weird having the 2D / 3D metaphor with the background.,,,,,,,1,,,,,,,,,,1,
0,P10,VR-D,22,Not good. Not good at all. Seeing in the distance and its looking blurry. Not entirely bad. But small glimmers of hope occasionnaly.,,,,,,,1,1,1,,,,,,,,,
0,P6,VR-D,23,Make it facing you,,,,,,,1,,,,,,,,,,,
0,P2,VR-D,28,“I can get my head right in the middle” “that is so weird” “idont know why I did that it was fun”,,,1,,,,1,,,,,,,,,,,
1,P11,VR-D,30,Its got some dimension to it. I dont like the orientation,,,,,,,1,,,,,,,,,,,
0,P6,VR-D,32,I did not quite rotate it <drawn shape> enough,,,,,,,1,,1,,,,,,,,,
1,P3,VR-D,35,This is definitely a lot harder. I have to look away from the box to see how its going to be represented,,,,,,,1,,1,,,,,,,,,
1,P9,VR-D,38,Im doing the circle so I can better compare the two shapes,,,,,,1,1,,,,,,,,,,,
1,P3,VR-D,41,Single outline does not seem to work quite as well,,,,,,,1,,,,,,,,,,,
1,P13,VR-D,50,Its small and its not very dominant,,,,,,,1,,,,,,,,,,,
1,P13,VR-D,56,"Its like almost 2d shape, meaning a little 3d a bit towards happiness. Flat a bit like negative 2D but not quite filled it, because it can still turn into positive or negative. Irregaular shape because its just forming. It does not know yet what its going to become. It could turn into positive or negative.",,,,,,1,1,,,,,,,,,,,
1,P7,VR-D,58,Flat because looking down,,,,,,,1,,,,,,,,,,,
1,P7,VR-D,59,Star so flat vertically and square horizontaly hard to count,,,,,,,1,1,1,,,,,,,,,
1,P3,VR-D,65,Its kind of funny that everything shakes. Mildy discouncerting. One adjusts for it I think,,,1,,,,1,,,,,,,,,,,
1,P5,VR-D,88,Kind of cute but hard to see,,,,,,,1,,,,,,,,,,1,
1,P5,VR-D,96,Flat to growth,,,,,,1,1,,,,,,,,,,,
1,P5,VR-D,106,Feels weird that im stepping on these,,,,,,,1,,,,,,,,,,,
1,P13,2D-D,14,"I like the happy face, but I don’t like the pattern of it. Its just a fine pattern. Something because one shape and a new message rather a pile of new element. Somehow I would try to figure something out.",,,,,,,?,,,,,,,,,,1,
1,P13,VR-B,26,"Count: oh wow, its going to be really difficult. Because the dots. The blue might be ok. But the other ones, they are aligned in diagonals. ",,,,,,,?,,1,,,,,,,,,
0,P2,VR-C,7,Easier to do an association to positive one – symbols could be interpreted because of angle of point of view,,,,,,1,?,,,,,,,,,?,,
1,P13,VR-C,30,"I feel because its 3D. if the shape is 3D and no white space, it becomes a blur and I loose the overview. I like the white space. It’s the oppositive of what I was saying in 2D",,,,,,,?,,,,,,,,,,,
0,P2,VR-D,31,"If you do not have depth on it, the estimation test is going to be difficult. Its really difficult without. Tough to make that judgment",,,,,,,?,1,1,,,,,,,,,
1,P13,VR-D,57,Bigger than black shapes and smaller than black one,,,,,,,?,,,,,,,,,,,
1,P11,2D-B,1,Pretty neutral. Mean skew toward positive. My own biases. Negative biases. Greater that the negatve,,,,,,,,1,,,,,,,,,,
1,P13,2D-B,1,3/3 2/3 1/3,correct,,,,,,,1,,,,,,,,,,
1,P3,2D-B,1,Look like a good week for me- neutral good but a lot less than the positive,,,,,,,,1,,,,,,,,,,
1,P5,2D-B,1,Quantities – not comfortable without counting,,,,,,,,1,1,,,,,,,,,
1,P7,2D-B,1,I have no idea,,,,,,,,,1,,,,,,,,,
1,P9,2D-B,1,"I can see that mostly good or neutral, with some unpleasant moments",,,,,,,,1,,,,,,,,,,
1,P11,2D-B,2,Proportion: 2 4 1,over,,,,,,,1,,,,,,,,,,
1,P13,2D-B,2,"100, 200, 300",,correct,,,,,,1,,,,,,,,,,
1,P3,2D-B,2,Positive – three times as many data points as the negative,,correct,,,,,,1,,,,,,,,,,
1,P5,2D-B,2,"at least a 300 for negative, 100 positive – netrual in the middle",,correct,,,,,,1,,,,,,,,,,
1,P7,2D-B,2,<Has to count>,,,,,,,,1,1,,,,,,,,,
1,P9,2D-B,2,"I cannot tell the flow of the week, I would have take context of what happened to happen",,,,,,,,,,,,,,,,,,
1,P11,2D-B,3,"Count: 161 total, positive 112, 216, 100",,under,,,,,,1,,,,,,,,,,
1,P3,2D-B,3,"Hard not to count. Try to count – 500 positive , 200 neutral, 100 negative",,correct-over,,,,,,1,1,,,,,,,,,
1,P5,2D-B,3,hard time with quantities -,,,,,,,,1,1,,,,,,,,,
1,P7,2D-B,3,"100 negative, 400 positive, 200 neutral",,correct-over,,,,,,1,,,,,,,,,,
1,P9,2D-B,3,I assume its to learn something about myself,,,,,,,,,,,,,,,,,,
1,P5,2D-B,4,Proportions – neutral is about double positive – negative quite overwhelming.  ,over,,,,,,,1,,,,,,,,,,
1,P9,2D-B,4,"Looks like its about 50% reduction each time. Negative is half positive, neutral is 75% of positive",over,,,,,,,1,,,,,,,,,,
1,P9,2D-B,5,"Positive = 200+, neutral= 150, neg=100",,over,,,,,,1,,,,,,,,,,
0,P12,2D-B,17,"My head is telling me that im not able to. I need to get to the overall count. I was looking to be all together. I can do it but positive 3 times of negative, neutral is 2 of negative.",correct,,,,,,,1,1,,,,,,,,,
0,P12,2D-B,18,"Count: positive: 20x20=2000, neutral: 2/3- 3000, 1500",,over,,,,,,1,,,,,,,,,,
0,P8,2D-B,20,"Positive, but a lot more neutrl and less negative. I had more positive than negative",,,,,,,,1,,,,,,,,,,
0,P8,2D-B,21,"Neutral 1000, 700 positive, 450 negative",,over,,,,,,1,,,,,,,,,,
0,P8,2D-B,22,"<feel like counting> around 500, 300-350, 200",,over,,,,,,1,1,,,,,,,,,
0,P10,2D-B,25,"Good week, Im kind of thinking of the last and supposed to be similar. The other one seemed overwhelmingly positive. Negative a little less than quarter of a positive, neutral around half positive.",over,,,,,,,1,,,,,,,,,,1
0,P10,2D-B,26,"Count: 100 positive, 50 or 60 netural, 30 negative",,under,,,,,,1,,,,,,,,,,
0,P2,2D-B,36,50% is blue 2/3 positive 1/3 neutral,correct,,,,,,,1,,,,,,,,,,
0,P6,2D-B,36,Positive – neg 3 to 1. Pos neg 3 to 2. Neu neg 3 to 2,correct,,,,,,,1,,,,,,,,,,
0,P2,2D-B,37,"300-400 blue
100 purple
150 orange
",,correct,,,,,,1,,,,,,,,,,
0,P6,2D-B,37,Pos 250 neutral 200 neg 100,,correct,,,,,,1,,,,,,,,,,
0,P4,2D-B,41,"Guess around 45% positive, 30% neutral, 25%negative",correct-under,,,,,,,1,,,,,,,,,,
0,P4,2D-B,42,Rough count – 100 negative – 150 neutral – 200 positive,,under,,,,,,1,,,,,,,,,,
1,P9,2D-C,6,Get a feel for what my options are.,,,,,,,,,,,,,,,,,,
1,P13,2D-C,7,It seems that there are ratio 100% 3/3 2/3 1/3,correct,,,,,,,1,,,,,,,,,,
1,P13,2D-C,8,"300, 200, 100",,correct,,,,,,1,,,,,,,,,,
1,P5,2D-C,10,Its hard to not gravitate back towards what you showed me. Nothing I see is an improvement. Everything else is too busy. All feels very full and busy or too simple.  Concentric circles are pretty but not really conveying things. Curious now. Hard to see between them. Start seeing edges between things because of contrast.  ,,,,,,,,,,,,,,,,,1,1
1,P9,2D-C,10,"They look similar enough that I can see the distribution. I can see the symbols and don’t have to think to what they are, in contrast to just having the colors. The colors don’t mean anything to me. Perhaps different if I had chosen them. I don’t yet associate the color with the emotion.",,,,,,,,,,,,,,,,1,,
1,P5,2D-C,11,Back to baseline. But I don’t like it so much. I don’t like the layout.,,,,1,,,,,,,,,,,,,1,
1,P9,2D-C,11,"Seems like that this was much worse. Looks like it’s exactly the inverse of the last one. Twice as many neg as positive, 75% of the negative.",over,,,,,,,1,,,,,,,,,1,
1,P7,2D-C,12,Im trying to look at a happy shape but not nothing sparks happy,,,,,,,,,1,,,,,,,,,
1,P9,2D-C,12,"Rough= same 200, 150 neutral, 100 for positive.",,under,,,,,,1,,,,,,,,,,
1,P11,2D-C,13,The neutral is relatively low-weight. Human bias to register positive and netagitve more strongly than neutral.,,,,,,1,,,,,,,,,,,,
1,P5,2D-C,14,Im curious about the line.,,,1,,,,,,,,,,,,,,,
1,P3,2D-C,14,It makes sense. But what will I choose for the neutral one?,,,,,,,,,1,,,,,,,,,
1,P7,2D-C,14,swirls,,,,,,,,,,,,,,,,,,
1,P7,2D-C,15,what else looks cool,,,,,,,,,,,,,,,,,1,
1,P5,2D-C,15,“oh my goodness” X3 - bad?,,,?,?,,,,,,,,,,,,,,
1,P3,2D-C,15,[empty circle] Kind of make sense in this scheme.,,,,,,1,,,,,,,,,,,,
1,P3,2D-C,16,Pretty good. It was a good week like the first week I think,,,,,,,,1,,,,,,,,,,
1,P5,2D-C,16,Hard to gage,,,,,,,,1,1,,,,,,,,,
1,P7,2D-C,16,does not really look like happy,,,,,,,,,,,,,,,,,,
1,P3,2D-C,17,Rough count is hard,,,,,,,,1,1,,,,,,,,,
1,P7,2D-C,17,hmmm,,,,,,,,,1,,,,,,,,,
1,P3,2D-C,18,<Feels compelled to count> 400 or something positive. 150 neutral and about 100 negative,,correct-over,,,,,,1,1,,,,,,,,,
1,P5,2D-C,18,Circle.,,,,,,,,,,,,,,,,,,
1,P7,2D-C,18,kind of happy,,,,,,,,,,,,,,,,,,
1,P5,2D-C,19,Proportions: looks like my good to bad ratio got better. My neutral is smaller. I cannot tell if it was smaller than the last one. Confused about the neutrals anyways. Why they are meaning full. Negative does not look any smaller. Positive was larger. Hard to judge the two way growth. It is at least 50% bigger.,,,,,,,,1,,,,,,,,,,
1,P7,2D-C,19,like the more solid shape,,,,,,1,,,,,,,,,,,,
1,P5,2D-C,20,"I would still think I would have a bad week. But I still have plenty of downs this week. My ups got better, but maybe I could re-interpreting my neutral thoughts.",,,,,,,,1,,,,,,,,,,
1,P5,2D-C,21,<hard to do>,,,,,,,,,1,,,,,,,,,
1,P7,2D-C,21,don’t like any of the shapes of happiness,,,,,,,,,1,,,,,,,,,
1,P5,2D-C,22,Neg:300-400  N:100  P:150/200,,correct-over,,,,,,1,,,,,,,,,,
1,P7,2D-C,23,"wave looks like blah, does not really mean anything.",,,,,,,,,1,,,,,,,1,,
1,P7,2D-C,24,"Blue, looks like a crash to me, but I don’t like blue.",,,,,,,,,,,,,,,,1,,
1,P7,2D-C,26,Lets try the negative,,,,,,,,,,,,,,,,,,
0,P10,2D-C,28,"Tries the spiral. They kind of go together, the weight of the line. More or less happy.",,,,,,,,,,,,,,,,,,
1,P7,2D-C,28,"Because overall the negative balances out the happiness, and then bunch of neutral so neutral overall.",,,,,,,,,,,,,,,,,,
0,P10,2D-C,29,"Good week, similar if not the same to the last week. There may be more neutral than last week. Mostly positive.",,,,,,,,1,,,,,,,,,,
1,P7,2D-C,29,These shapes are a lot harder,,,,,,,,,1,,,,,,,,,
0,P10,2D-C,30,"Proportions: huh neutral 2/3 of positive, neg ¼ positive",correct,,,,,,,1,,,,,,,,,,
1,P7,2D-C,30,1d-100 2d 4d,correct,,,,,,,1,,,,,,,,,,
0,P10,2D-C,31,"Count: positive “oh man”  120 positive, neutral: 80, neg: <trying not to count> 50 negative.",,under,,,,,,1,1,,,,,,,,,
1,P7,2D-C,33,Also the colors are not symbolizing these emotions.,,,,,,,,,1,,,,,,,1,,
0,P12,2D-C,33,Neutral – geometric. I could find a good one actually. The most neutral shape I could find in here,,,,,,,,,,,,,,,,,,
0,P12,2D-C,36,"Neg half of positive, neutral is ¾ of positive.",over,,,,,,,1,,,,,,,,,,
0,P12,2D-C,37,"Positive: 1600, neutral 1000, 800",,over,,,,,,1,,,,,,,,,,
0,P8,2D-C,37,I would have like to have to like to have one empty one that I can draw and fill in.,,,,,,,,,,,,,,,,,,
0,P8,2D-C,38,I would make it more personal to draw on top,,,,,,,,,,,,,,,,1,,
0,P6,2D-C,38,Orange is positive,,,,,,,,,,,,,,,,,,
0,P8,2D-C,39,Decorate it more. No shape working but then draw on top.,,,,,,,,,,,,,,,,,,
0,P8,2D-C,41,"I was very happy, and very little sad. Neutral, is more than sad and less than happiness so overall happy.",,,,,,,,1,,,,,,,,,,
0,P2,2D-C,42,"50% is blue 2/3 positive 1/3 neutral
",correct,,,,,,,1,,,,,,,,,,
0,P8,2D-C,42,"Proportions: 500 positive, 300, around 150 for negative.",,over,,,,,,1,,,,,,,,,,
0,P6,2D-C,43,<Did not try different shapes>,,,,1,,,,,,,,,,,,,,
0,P2,2D-C,43,"300-400 blue
100 purple
150 orange
",,correct,,,,,,1,,,,,,,,,,
0,P6,2D-C,44,3 to 2 neut to pos. 3 to 2 neg to netrual. 3 to 1 pos neg,correct,,,,,,,1,,,,,,,,,,
0,P6,2D-C,45,"Pos 85, neutral 120, neg 160",,under,,,,,,1,,,,,,,,,,
0,P6,2D-C,47,Would be interesting to see if actual estimate would be better because of that.,,,,,,,,,,,,,,,,,,
0,P4,2D-C,57,"Self-contained shapes, knowing what the task is.",,,,,,,,,,,,,,,,,,
0,P4,2D-C,61,Maybe 10%more positive than negative,,,,,,,,1,,,,,,,,,,
0,P4,2D-C,62,50% neutral – 35% positive – 15% negative,correct,,,,,,,1,,,,,,,,,,
0,P4,2D-C,63,200 – 120/130 – 70ish,,under,,,,,,1,,,,,,,,,,
0,P4,2D-C,65,I like independent moment – with independent shape,,,,,,,,,,,,,,,,,,
0,P4,2D-C,67,Take quote from end of recording P4-7-quote,,,,,,,,,,,,,,,,,,
1,P11,2D-D,4,Negative – squiggly,,,,,,,,,,,,,,,,,,
1,P3,2D-D,5,<Does not explore drawing/erasing much>,,,,1,,,,,,,,,,,,,,
1,P7,2D-D,6,"Yellow for neutral, waves",,,,,,,,,,,,,,,,,,
1,P11,2D-D,7,Pretty darn bad. But some high points. A roler coster a poralized week could be early or late in the week.,,,,,,,,,,,,,,,,,,
1,P7,2D-D,7,Look at the vis and then. Does the overall symbol works with me,,,,,,1,,,,,,,,,,,,
1,P11,2D-D,8,Proportions: 2 1 4,over,,,,,,,1,,,,,,,,,,
1,P3,2D-D,8,Face represented that emotional face as well,,,,,,,,,,,,,,,,,,
1,P11,2D-D,9,"Count: 112, 46 neutral, 217 third negative.",,under,,,,,,1,,,,,,,,,,
1,P3,2D-D,10,It is interesting because there is neutral and positive. If I were to add up the positive and neutral its sort of balanced but it just makes me feel more negative.,,,,,,,,1,,,,,,,,,,
1,P7,2D-D,10,Got a lot of neutral and sad faces. Sigh,,,,,,,,,,,,,,,,,,
1,P3,2D-D,11,“I guess it is a bad week when half of the week was bad”,,,,,,,,1,,,,,,,,,,
1,P7,2D-D,11,100 happy. 400 neutral. 200 sad,,correct-over,,,,,,1,,,,,,,,,,
1,P13,2D-D,12,I need to make a face on black background. A bad sad face.,,,,,,1,,,,,,,,,,,,
1,P3,2D-D,12,sigh for counting - does not do it,,,,,,,,1,1,,,,,,,,,
1,P9,2D-D,13,For whatever reason associating happy with yellow,,,,,,,,,,,,,,,,1,,
1,P9,2D-D,16,It makes me laugh which is supposed to be positive so it s goo,,,1,,,,,,,,,,,,,,,
1,P9,2D-D,17,<happy smiling star>,,,,,,,,,,,,,,,,,,
0,P12,2D-D,19,"Pick the color – I  can’t draw, I want to do thumbs up, I need a reference <was going to look up his phone>.",,,,1,,,,,1,,,,,,,,,
0,P12,2D-D,20,Teal,,,,,,,,,,,,,,,,,,
1,P13,2D-D,20,"4 days neutral, 3 days happy, 2 days unhappy",correct,,,,,,,1,,,,,,,,,,
1,P9,2D-D,20,"For neutral, what color should I use. Lets use. That one is harder. Lets use black",,,,,,,,,,,,,,,,,,
1,P13,2D-D,21,sigh when asked to estimate quantities,,,,1,,,,,,,,,,,,,,
1,P9,2D-D,21,Im actually going to basically using the previous choice “like a mental template”,,,,,,,,,,,,,,,,,,1
0,P12,2D-D,22,Redoing the thumb s up,,,,,,,,,1,,,,,,,,,
1,P13,2D-D,22,300 200 100,,correct,,,,,,1,,,,,,,,,,
1,P9,2D-D,22,Wavy lines without circle.,,,,,,,,,,,,,,,,,,
0,P12,2D-D,23,Is looking at his hand for the model,,,,,,,,,1,,,,,,,,,
1,P13,2D-D,23,"Still the same count. I know because of the outline, the ratio of the squares",,,,,,,,1,,,,,,,,,,1
1,P9,2D-D,23,"Really good week, about the same as the first week.",,,,,,,,1,,,,,,,,,,1
0,P12,2D-D,24,Does not look at the resulting visual,,,,1,,,,,,,,,,,,,,
1,P9,2D-D,24,"Proportions: twice as amny good as bad, neutral right in the middle",over,,,,,,,1,,,,,,,,,,
0,P12,2D-D,25,Wanted to grey for the neutral,,,,,,,,,,,,,,,,,,
1,P9,2D-D,25,"Count 200 pos, 100 neg, 150 for neutral.",,under,,,,,,1,,,,,,,,,,
1,P5,2D-D,27,Kind of cute – laugh,,,1,,,,,,,,,,,,,,1,
0,P12,2D-D,27,I dont know im not doing a good job,,,,1,,,,,1,,,,,,,,1,
0,P12,2D-D,28,Natural for him. Teal is happy.,,,,,,,,,,,,,,,,,,
1,P5,2D-D,28,Radial feel but then not overwhelming like field shapes,,,,,,,,,,,,,,,,,,
0,P8,2D-D,28,500 red – count and then square. 300 positive and 150 each.,,over,,,,,,1,,,,,,,,,,
1,P5,2D-D,29,"I like purple, one of my favorite color – so that is my happy color",,,,,,,,,,,,,,,,1,1,
1,P5,2D-D,30,Neutral – turquoise.,,,,,,,,,,,,,,,,,,
0,P8,2D-D,30,<drew actual scenes-complex>,,,,,,,,,,,,,,,,,,
1,P5,2D-D,31,But for personal and fun – better to have different icons and ties them,,,1,,,,,,,,,,,,,1,,
1,P5,2D-D,32,Laugh,,,1,,,,,,,,,,,,,,,
0,P8,2D-D,32,"I am a painter, I watercolor painting. I find it difficult to make the strokes. I feel I could do better. Better on this with more practice on studio.",,,,,,,,,1,,,,,,,,,
1,P5,2D-D,33,No idea if I can pull it off without making it look aweful,,,,,,,,,1,,,,,,,,1,
1,P5,2D-D,34,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,2D-D,35,Laugh,,,1,,,,,,,,,,,,,,,
0,P10,2D-D,35,Pretty neutral. Some ups and down. Overall kind of somewhere in between. More positive than negative.,,,,,,,,1,,,,,,,,,,
0,P10,2D-D,36,"Proportions: negative is a little more than quarter of neutral, happy is half to two third of neutral.",correct,,,,,,,1,,,,,,,,,,
1,P5,2D-D,36,Close approximation,,,,,,,,,,,,,,,,,,
1,P5,2D-D,37,Fun and cute,,,1,,,,,,,,,,,,,,1,
1,P5,2D-D,38,Negative – orange. I would consider red but too saturated,,,,,,,,,,,,,,,,,,
1,P5,2D-D,40,Laugh,,,1,,,,,,,,,,,,,,,
1,P5,2D-D,42,Proportion – positive ¾ times as big as and then middle 1/2 bigger,over,,,,,,,1,,,,,,,,,,
1,P5,2D-D,43,Neg 100 – 150/200 – 300 to 400 hundred.,,correct-over,,,,,,1,,,,,,,,,,
0,P4,2D-D,44,"Help my memory work, stay with turquoise",,,,,,,,,,,,,,,,,,1
0,P2,2D-D,45,laugh,,,1,,,,,,,,,,,,,,,
0,P4,2D-D,45,"Im not that artistic, I don’t have any unique ideas really",,,,?,,,,,1,,,,,,,,,
0,P2,2D-D,46,yay!,,,1,,,,,,,,,,,,,,,
0,P4,2D-D,46,Fills the shape – blue cloud - <lag> but is persisting,,,,,,,,,1,,,,,,,,,
0,P4,2D-D,47,Does not really look at the populating shapes,,,,1,,,,,,,,,,,,,,
0,P4,2D-D,48,Did not try much,,,,1,,,,,,,,,,,,,,
0,P2,2D-D,48,50% 1/3 and 1/6,correct,,,,,,,1,,,,,,,,,,
0,P2,2D-D,49,"300-400 blue
100 purple
150 orange
",,correct,,,,,,1,,,,,,,,,,
0,P4,2D-D,49,50 neutral 30 neg 20,,,,,,,,1,,,,,,,,,,
0,P6,2D-D,49,Thinking,,,,,,,,,1,,,,,,,,,
0,P6,2D-D,50,"Keep it super simple, because I don’t like to do a much of work. That last one of simple metaphor was simple",,,,1,,,,,1,,,,,,,,,
0,P4,2D-D,50,"Rough count: <counting> 200 neutrals, 40 positive",,,,,,,,1,,,,,,,,,,
0,P4,2D-D,51,"Does not sound right, it’s more than 40",,,,,,,,1,1,,,,,,,,,
0,P6,2D-D,51,Positive to neutral – 3 to 2. Pos to neg 3 to 1. Neutral to neg (harder) 2 to 1 but not quite,correct,,,,,,,1,,,,,,,,,,
0,P4,2D-D,52,260 150 80,,correct,,,,,,1,,,,,,,,,,
0,P6,2D-D,52,"Pos 160, neutral 110, neg 80",,under,,,,,,1,,,,,,,,,,
0,P4,2D-D,53,Make a count then use the proportion - I can’t do math in mornings,,,,,,,,1,1,,,,,,,,,
0,P10,VR-B,1,"My week was pretty up and down, there is most negative, but there was a lot positive as well. More negative, but a little bit of neutral.",,,,,,,,1,,,,,,,,,,
0,P12,VR-B,1,"%Proportions: 90% positive compare to neutral, 5% of negative",over,,,,,,,1,,,,,,,,,,
0,P2,VR-B,1,"proportional amount a third bigger than neutral and happy combined, a third less",over,,,,,,,1,,,,,,,,,,
0,P4,VR-B,1,More negative thoughts than positive – maybe like 60 percent negative – 40 neutral/positive  - 25% positive 15% neutral.,correct,,,,,,,1,,,,,,,,,,
0,P6,VR-B,1,More neutral than both pos and neg,,,,,,,,1,,,,,,,,,,
0,P8,VR-B,1,"Very few happy moments, quite a bit of neutral moments, a lot of unhappy moments. It looks like much more than the happy ones. Sigh. Positive is half of the blue. ¾ purple of the blue.",,,,,,,,1,,,,,,,,,,
0,P10,VR-B,2,"Proportion, “oh man”",,,,,,,,1,1,,,,,,,,,
0,P12,VR-B,2,"Orange: 100, Neutral: 400, Blue: 100 – 80",,under,,,,,,1,,,,,,,,,,
0,P2,VR-B,2,"140 positive
I would wager a guess than maybe 200 donust neutral
250 and 300 blue 
",,under,,,,,,1,,,,,,,,,,
0,P4,VR-B,2,150 negative ones – positive 100 – 50 neutral ,,under,,,,,,1,,,,,,,,,,
0,P6,VR-B,2,Neg to pos: 3 to 2. Neutral 2 to 1 to positive. 3/2 netruao to neg,correct,,,,,,,1,,,,,,,,,,
0,P8,VR-B,2,"Blue – 1000 blue, 700 purple, 300-400 orange.",,over,,,,,,1,,,,,,,,,,
0,P10,VR-B,3,"I want to say twice as much neg from positive, harder neutral and positive. Neutral positive twice, negative is triple than neutral.",over,,,,,,,1,,,,,,,,,,
0,P2,VR-B,3,Look at by square – 140 positive: Counting by blocks of 12 x 12,,under,,,,,,1,,,,,,,,,,
0,P6,VR-B,3,"Neg 80, 100/120 neutral, 50ish positive.",,under,,,,,,1,,,,,,,,,,
0,P6,VR-B,4,Uncomfortable – flicker of screen is uncomfortable for me,,,,1,,,,,,,,,,,,,,
0,P10,VR-B,4,"Positive <can I count one row>  maybe like 80, “im really bad at this” maybe lie 30 for neutral, 100 negative.",,under,,,,,,1,1,,,,,,,,,
1,P11,VR-B,17,Data: bad week. The mean is on the bad side.,,,,,,,,1,,,,,,,,,,
1,P11,VR-B,18,"Proportions: neg is 3 times the size of neutral, positive 1/3 of neutral",correct,,,,,,,1,,,,,,,,,,
1,P11,VR-B,19,"Count: positive 72, neutral 180, negative 412",,correct,,,,,,1,,,,,,,,,,
1,P3,VR-B,20,It is difficult to get a feel. I can tell relative. Get a feel of how many is difficult. The 3D is hard,,,,,,,,1,2,,,,,,,,,
